InvoiceNo,InvoiceDate,CustomerID
536538,01/12/2010 13:54,14594
536539,01/12/2010 14:03,15165
536540,01/12/2010 14:05,14911
536541,01/12/2010 14:05,14911
536542,01/12/2010 14:11,16456
536551,01/12/2010 14:34,17346
536556,01/12/2010 14:38,17643
536557,01/12/2010 14:41,17841
536559,01/12/2010 14:54,17873
536560,01/12/2010 15:00,13093
536561,01/12/2010 15:06,12921
536562,01/12/2010 15:08,13468
536563,01/12/2010 15:08,17760
536564,01/12/2010 15:08,13468
536566,01/12/2010 15:21,16928
536567,01/12/2010 15:27,16048
536568,01/12/2010 15:28,16048
536569,01/12/2010 15:35,16274
536570,01/12/2010 15:35,14496
536571,01/12/2010 15:37,14696
536572,01/12/2010 15:40,16539
536573,01/12/2010 15:45,17025
536574,01/12/2010 15:46,17025
536575,01/12/2010 16:01,13777
536576,01/12/2010 16:11,13777
536577,01/12/2010 16:13,13777
536578,01/12/2010 16:15,17690
536579,01/12/2010 16:16,13777
536580,01/12/2010 16:17,17690
536581,01/12/2010 16:19,13777
536582,01/12/2010 16:21,12947
536583,01/12/2010 16:21,13777
536584,01/12/2010 16:22,13777
536585,01/12/2010 16:24,17460
536586,01/12/2010 16:25,18229
536587,01/12/2010 16:33,14142
536588,01/12/2010 16:49,17069
536590,01/12/2010 16:52,13065
536591,01/12/2010 16:57,14606
536593,01/12/2010 17:15,16835
536594,01/12/2010 17:22,15235
536595,01/12/2010 17:24,13576
536597,01/12/2010 17:35,18011
536598,02/12/2010 07:48,13090
536599,02/12/2010 07:49,15694
536600,02/12/2010 08:32,17850
536601,02/12/2010 08:33,17850
536602,02/12/2010 08:34,17850
536603,02/12/2010 08:40,17850
536604,02/12/2010 08:43,14741
536605,02/12/2010 08:52,13715
536607,02/12/2010 09:29,17732
536608,02/12/2010 09:37,12855
536609,02/12/2010 09:41,17850
536610,02/12/2010 09:42,17850
536611,02/12/2010 09:43,15752
536612,02/12/2010 09:44,17850
536613,02/12/2010 09:44,17855
536614,02/12/2010 09:44,17850
536615,02/12/2010 10:09,14047
536616,02/12/2010 10:10,17925
536617,02/12/2010 10:17,13941
536618,02/12/2010 10:17,17017
536619,02/12/2010 10:18,17017
536620,02/12/2010 10:27,14135
536621,02/12/2010 10:35,13108
536623,02/12/2010 10:39,15601
536624,02/12/2010 10:45,13418
536626,02/12/2010 10:46,13418
536627,02/12/2010 10:53,15658
536628,02/12/2010 10:54,17850
536629,02/12/2010 10:55,17850
536630,02/12/2010 10:56,17850
536631,02/12/2010 10:58,17850
536632,02/12/2010 11:02,14388
536633,02/12/2010 11:20,14901
536634,02/12/2010 11:21,18041
536635,02/12/2010 11:22,15955
536636,02/12/2010 11:23,15070
536637,02/12/2010 11:35,18041
536638,02/12/2010 11:41,16244
536639,02/12/2010 11:45,15111
536641,02/12/2010 11:46,12748
536643,02/12/2010 11:57,14390
536663,02/12/2010 12:07,16546
536667,02/12/2010 12:09,15260
536670,02/12/2010 12:09,15260
536671,02/12/2010 12:10,13305
536672,02/12/2010 12:10,14491
536673,02/12/2010 12:11,14060
536674,02/12/2010 12:16,15923
536676,02/12/2010 12:18,16752
536681,02/12/2010 12:22,17287
536685,02/12/2010 12:23,17850
536688,02/12/2010 12:24,17850
536690,02/12/2010 12:25,17850
536693,02/12/2010 12:26,17850
536698,02/12/2010 12:28,15363
536707,02/12/2010 12:33,12915
536732,02/12/2010 12:47,15544
536733,02/12/2010 12:50,15738
536735,02/12/2010 12:58,17381
536736,02/12/2010 12:59,17381
536738,02/12/2010 13:06,15827
536739,02/12/2010 13:08,14180
536740,02/12/2010 13:08,15827
536741,02/12/2010 13:11,13117
536742,02/12/2010 13:14,16916
536743,02/12/2010 13:32,17964
536744,02/12/2010 13:36,14466
536745,02/12/2010 13:38,17235
536746,02/12/2010 13:39,16510
536747,02/12/2010 13:44,17802
536748,02/12/2010 13:45,15107
536749,02/12/2010 13:49,17976
536750,02/12/2010 14:04,17850
536751,02/12/2010 14:05,17850
536752,02/12/2010 14:06,17850
536753,02/12/2010 14:07,17850
536754,02/12/2010 14:09,14449
536759,02/12/2010 14:26,16781
536761,02/12/2010 14:30,13491
536762,02/12/2010 14:40,16186
536763,02/12/2010 14:42,17685
536769,02/12/2010 14:47,17581
536771,02/12/2010 14:49,17581
536777,02/12/2010 15:00,15732
536778,02/12/2010 15:03,13138
536779,02/12/2010 15:08,15823
536781,02/12/2010 15:14,17460
536782,02/12/2010 15:18,17567
536783,02/12/2010 15:19,15061
536784,02/12/2010 15:20,15061
536785,02/12/2010 15:22,15061
536786,02/12/2010 15:23,15061
536787,02/12/2010 15:24,17850
536788,02/12/2010 15:25,15061
536789,02/12/2010 15:25,17850
536790,02/12/2010 15:26,17850
536791,02/12/2010 15:27,17850
536792,02/12/2010 15:28,15061
536793,02/12/2010 15:39,16203
536794,02/12/2010 15:40,13767
536795,02/12/2010 15:40,15640
536796,02/12/2010 15:46,15574
536797,02/12/2010 15:49,16770
536798,02/12/2010 15:55,17838
536799,02/12/2010 16:00,17228
536800,02/12/2010 16:12,14829
536802,02/12/2010 16:29,17412
536803,02/12/2010 16:33,14911
536804,02/12/2010 16:34,14031
536805,02/12/2010 16:38,14775
536806,02/12/2010 16:42,12971
536808,02/12/2010 16:46,17659
536809,02/12/2010 16:48,15299
536810,02/12/2010 16:50,15299
536811,02/12/2010 16:51,15299
536813,02/12/2010 16:59,15646
536819,02/12/2010 17:12,13402
536821,02/12/2010 17:17,17757
536823,02/12/2010 17:22,13011
536824,02/12/2010 17:24,13798
536830,02/12/2010 17:38,16754
536831,02/12/2010 17:40,16029
536832,02/12/2010 17:41,16634
536833,02/12/2010 17:48,18239
536834,02/12/2010 17:51,14576
536835,02/12/2010 18:06,13145
536836,02/12/2010 18:08,18168
536837,02/12/2010 18:15,14395
536838,02/12/2010 18:23,14865
536839,02/12/2010 18:25,15093
536840,02/12/2010 18:27,12738
536841,02/12/2010 18:27,16150
536842,02/12/2010 18:45,17552
536843,02/12/2010 18:46,17552
536844,02/12/2010 18:49,14236
536845,02/12/2010 19:18,17961
536846,02/12/2010 19:59,14573
536847,03/12/2010 09:31,17135
536848,03/12/2010 09:39,13408
536849,03/12/2010 09:45,17396
536851,03/12/2010 09:49,12967
536852,03/12/2010 09:51,12686
536856,03/12/2010 10:26,13370
536857,03/12/2010 10:33,16883
536858,03/12/2010 10:36,13520
536859,03/12/2010 10:43,12841
536860,03/12/2010 10:43,16905
536861,03/12/2010 10:44,12427
536863,03/12/2010 11:19,17967
536874,03/12/2010 11:35,16891
536884,03/12/2010 11:42,14589
536890,03/12/2010 11:48,14156
536938,03/12/2010 12:05,14680
536943,03/12/2010 12:11,17884
536944,03/12/2010 12:20,12557
536945,03/12/2010 12:24,14083
536946,03/12/2010 12:28,13013
536947,03/12/2010 12:29,13013
536954,03/12/2010 12:41,17809
536956,03/12/2010 12:43,14210
536957,03/12/2010 12:43,17809
536960,03/12/2010 12:48,16477
536967,03/12/2010 12:57,12600
536968,03/12/2010 13:09,16013
536969,03/12/2010 13:10,16013
536970,03/12/2010 13:12,17949
536971,03/12/2010 13:40,12779
536972,03/12/2010 13:42,16926
536973,03/12/2010 13:43,17787
536974,03/12/2010 13:59,12682
536975,03/12/2010 14:04,14911
536976,03/12/2010 14:18,14723
536977,03/12/2010 14:18,17954
536980,03/12/2010 14:26,17819
536981,03/12/2010 14:26,14723
536983,03/12/2010 14:30,12712
536984,03/12/2010 14:35,17841
536985,03/12/2010 14:40,15373
536986,03/12/2010 14:40,16140
536987,03/12/2010 14:54,17198
536988,03/12/2010 15:05,17238
536989,03/12/2010 15:10,17238
536990,03/12/2010 15:14,12793
536992,03/12/2010 15:16,15769
536993,03/12/2010 15:19,14396
536994,03/12/2010 15:25,14898
537022,03/12/2010 15:45,12725
537023,03/12/2010 16:02,16725
537026,03/12/2010 16:35,12395
537030,03/12/2010 16:44,16455
537031,03/12/2010 16:45,16455
537034,03/12/2010 17:20,13081
537035,03/12/2010 17:21,13081
537036,03/12/2010 17:28,15545
537037,05/12/2010 10:03,17243
537038,05/12/2010 10:12,15465
537040,05/12/2010 10:27,13089
537041,05/12/2010 10:36,16033
537042,05/12/2010 10:45,13838
537044,05/12/2010 10:52,18055
537045,05/12/2010 10:54,15038
537046,05/12/2010 10:58,18109
537047,05/12/2010 11:02,13069
537048,05/12/2010 11:03,13069
537049,05/12/2010 11:04,16241
537050,05/12/2010 11:10,14800
537051,05/12/2010 11:12,15708
537052,05/12/2010 11:15,16839
537053,05/12/2010 11:38,16168
537054,05/12/2010 11:40,16931
537055,05/12/2010 11:45,16814
537057,05/12/2010 11:49,15351
537058,05/12/2010 11:51,13269
537059,05/12/2010 11:54,14813
537065,05/12/2010 11:57,12567
537067,05/12/2010 11:57,14813
537077,05/12/2010 11:59,17062
537081,05/12/2010 12:00,15332
537086,05/12/2010 12:01,15332
537090,05/12/2010 12:02,15332
537111,05/12/2010 12:08,14810
537117,05/12/2010 12:09,16353
537126,05/12/2010 12:13,18118
537127,05/12/2010 12:13,13831
537128,05/12/2010 12:15,12841
537129,05/12/2010 12:15,13506
537130,05/12/2010 12:23,17796
537131,05/12/2010 12:26,15716
537133,05/12/2010 12:29,18156
537134,05/12/2010 12:34,16983
537135,05/12/2010 12:35,17059
537136,05/12/2010 12:42,12748
537137,05/12/2010 12:43,16327
537138,05/12/2010 12:44,17211
537139,05/12/2010 12:47,17026
537140,05/12/2010 12:53,12748
537141,05/12/2010 12:57,15570
537142,05/12/2010 12:57,12748
537144,05/12/2010 13:00,15880
537153,05/12/2010 13:03,16718
537154,05/12/2010 13:05,15808
537155,05/12/2010 13:05,12748
537156,05/12/2010 13:08,17858
537158,05/12/2010 13:10,16393
537159,05/12/2010 13:17,14527
537160,05/12/2010 13:18,14161
537163,05/12/2010 13:21,17863
537176,05/12/2010 13:26,16411
537179,05/12/2010 13:29,13767
537192,05/12/2010 13:42,16402
537193,05/12/2010 13:49,15023
537194,05/12/2010 13:53,17402
537195,05/12/2010 13:55,15311
537196,05/12/2010 13:55,15426
537197,05/12/2010 14:02,12647
537198,05/12/2010 14:03,12647
537199,05/12/2010 14:06,15894
537200,05/12/2010 14:17,15867
537201,05/12/2010 14:19,12472
537202,05/12/2010 14:25,14506
537204,05/12/2010 14:45,15555
537205,05/12/2010 14:52,13034
537206,05/12/2010 15:02,15235
537207,05/12/2010 15:06,17402
537208,05/12/2010 15:12,15889
537209,05/12/2010 15:12,14606
537210,05/12/2010 15:15,15953
537211,05/12/2010 15:18,16143
537212,05/12/2010 15:21,12720
537213,05/12/2010 15:26,12748
537214,05/12/2010 15:35,16422
537215,05/12/2010 15:38,12747
537216,05/12/2010 15:40,15502
537217,05/12/2010 15:40,15502
537218,05/12/2010 15:46,12763
537219,05/12/2010 15:47,14081
537221,05/12/2010 15:54,17965
537222,05/12/2010 16:00,14404
537223,05/12/2010 16:10,13579
537224,05/12/2010 16:24,13174
537225,05/12/2010 16:41,12748
537226,06/12/2010 08:34,15987
537227,06/12/2010 08:42,17677
537228,06/12/2010 08:43,17677
537229,06/12/2010 08:44,17677
537231,06/12/2010 09:21,13652
537233,06/12/2010 09:37,17428
537235,06/12/2010 09:45,17381
537236,06/12/2010 09:52,16858
537238,06/12/2010 10:03,16161
537239,06/12/2010 10:05,18219
537241,06/12/2010 10:18,14293
537242,06/12/2010 10:19,14748
537243,06/12/2010 10:19,16638
537244,06/12/2010 10:20,17674
537245,06/12/2010 10:24,14748
537246,06/12/2010 10:27,12808
537247,06/12/2010 10:34,13094
537248,06/12/2010 10:36,15899
537249,06/12/2010 10:38,16955
537250,06/12/2010 10:43,12708
537254,06/12/2010 11:01,15898
537255,06/12/2010 11:03,14443
537256,06/12/2010 11:06,16210
537257,06/12/2010 11:10,17691
537258,06/12/2010 11:16,17227
537262,06/12/2010 11:26,15039
537265,06/12/2010 11:26,15919
537298,06/12/2010 11:37,13497
537301,06/12/2010 11:38,15860
537312,06/12/2010 11:42,14189
537313,06/12/2010 11:42,15304
537332,06/12/2010 11:58,14344
537334,06/12/2010 12:06,16719
537335,06/12/2010 12:15,15048
537346,06/12/2010 12:21,15301
537350,06/12/2010 12:23,14708
537351,06/12/2010 12:23,16898
537354,06/12/2010 12:23,12748
537359,06/12/2010 12:30,14825
537360,06/12/2010 12:31,18113
537362,06/12/2010 12:34,17596
537365,06/12/2010 12:38,15078
537366,06/12/2010 12:39,14085
537367,06/12/2010 12:39,15078
537368,06/12/2010 12:40,14911
537369,06/12/2010 12:41,17860
537370,06/12/2010 12:44,13155
537371,06/12/2010 12:47,15028
537372,06/12/2010 12:52,16919
537374,06/12/2010 12:55,17259
537375,06/12/2010 12:55,17019
537376,06/12/2010 12:59,16722
537377,06/12/2010 13:01,15882
537378,06/12/2010 13:06,14911
537380,06/12/2010 13:12,15882
537381,06/12/2010 13:13,14667
537382,06/12/2010 13:13,16710
537384,06/12/2010 13:21,15984
537385,06/12/2010 13:22,14487
537386,06/12/2010 13:32,14911
537387,06/12/2010 13:34,13468
537388,06/12/2010 13:35,17682
537389,06/12/2010 13:41,17757
537390,06/12/2010 13:47,16658
537391,06/12/2010 13:53,16550
537392,06/12/2010 13:58,17068
537393,06/12/2010 13:59,13089
537394,06/12/2010 14:00,13089
537395,06/12/2010 14:05,15356
537396,06/12/2010 14:08,17223
537397,06/12/2010 14:19,16817
537399,06/12/2010 14:31,13030
537400,06/12/2010 14:36,17191
537403,06/12/2010 14:43,17191
537404,06/12/2010 14:46,17191
537405,06/12/2010 14:51,17841
537407,06/12/2010 14:55,15502
537409,06/12/2010 15:00,15194
537410,06/12/2010 15:03,14409
537412,06/12/2010 15:06,14409
537415,06/12/2010 15:09,16654
537418,06/12/2010 15:13,17884
537419,06/12/2010 15:14,13495
537420,06/12/2010 15:18,17519
537421,06/12/2010 15:25,17218
537422,06/12/2010 15:27,17812
537423,06/12/2010 15:34,14215
537424,06/12/2010 15:35,15602
537428,06/12/2010 15:38,17320
537429,06/12/2010 15:54,12748
537433,06/12/2010 16:36,12913
537435,06/12/2010 16:58,17920
537440,06/12/2010 17:16,17869
537441,06/12/2010 17:26,13564
537446,07/12/2010 09:13,18055
537447,07/12/2010 09:21,13963
537448,07/12/2010 09:23,17450
537456,07/12/2010 09:43,17450
537457,07/12/2010 09:51,17511
537458,07/12/2010 09:55,17091
537459,07/12/2010 09:57,17470
537460,07/12/2010 10:04,17616
537461,07/12/2010 10:06,15649
537462,07/12/2010 10:06,17228
537463,07/12/2010 10:08,12681
537464,07/12/2010 10:14,14907
537465,07/12/2010 10:32,17735
537467,07/12/2010 10:36,16059
537468,07/12/2010 10:36,12567
537469,07/12/2010 10:43,17720
537470,07/12/2010 10:47,15018
537471,07/12/2010 10:51,14344
537472,07/12/2010 11:11,12971
537476,07/12/2010 11:26,15838
537484,07/12/2010 11:30,14733
537489,07/12/2010 11:33,17017
537509,07/12/2010 11:41,13756
537523,07/12/2010 11:45,14176
537538,07/12/2010 11:49,15353
537567,07/12/2010 11:59,18119
537592,07/12/2010 12:18,17491
537593,07/12/2010 12:21,14282
537594,07/12/2010 12:28,12647
537595,07/12/2010 12:29,13569
537598,07/12/2010 12:37,14135
537599,07/12/2010 12:37,17954
537601,07/12/2010 12:43,17287
537603,07/12/2010 12:49,14673
537604,07/12/2010 13:01,13488
537605,07/12/2010 13:13,16221
537606,07/12/2010 13:16,15002
537607,07/12/2010 13:18,15965
537608,07/12/2010 13:20,15024
537609,07/12/2010 13:22,17675
537612,07/12/2010 13:28,13769
537614,07/12/2010 13:29,16904
537615,07/12/2010 13:30,15898
537616,07/12/2010 13:30,16904
537617,07/12/2010 13:45,16086
537618,07/12/2010 13:50,15061
537619,07/12/2010 13:53,13786
537620,07/12/2010 14:00,13880
537622,07/12/2010 14:30,13173
537623,07/12/2010 14:31,15858
537624,07/12/2010 14:41,12748
537625,07/12/2010 14:57,15180
537626,07/12/2010 14:57,12347
537627,07/12/2010 14:58,14739
537628,07/12/2010 15:02,16293
537629,07/12/2010 15:03,17419
537631,07/12/2010 15:04,17419
537634,07/12/2010 15:15,16775
537635,07/12/2010 15:18,16306
537636,07/12/2010 15:20,16950
537646,07/12/2010 15:39,17591
537648,07/12/2010 15:48,12839
537649,07/12/2010 15:48,13807
537650,07/12/2010 15:48,16125
537653,07/12/2010 15:54,17897
537655,07/12/2010 16:20,15081
537657,07/12/2010 16:42,18102
537658,07/12/2010 16:43,18102
537659,07/12/2010 16:43,18102
537664,07/12/2010 17:05,15024
537665,07/12/2010 17:19,16365
537667,08/12/2010 08:12,17870
537668,08/12/2010 08:43,14821
537669,08/12/2010 08:58,16863
537670,08/12/2010 09:07,13078
537671,08/12/2010 09:20,13267
537672,08/12/2010 09:30,13050
537673,08/12/2010 09:49,12709
537674,08/12/2010 09:51,15628
537676,08/12/2010 09:53,12386
537678,08/12/2010 09:56,16779
537680,08/12/2010 10:11,13599
537681,08/12/2010 10:11,13329
537682,08/12/2010 10:13,13599
537683,08/12/2010 10:14,12921
537685,08/12/2010 10:21,18077
537686,08/12/2010 10:21,14744
537688,08/12/2010 10:35,17406
537689,08/12/2010 10:36,15750
537690,08/12/2010 10:38,13983
537691,08/12/2010 10:39,13842
537692,08/12/2010 10:40,14796
537693,08/12/2010 10:45,12441
537694,08/12/2010 10:46,14901
537698,08/12/2010 10:51,13199
537700,08/12/2010 10:51,18229
537707,08/12/2010 10:53,14032
537738,08/12/2010 11:02,17706
537743,08/12/2010 11:02,17706
537751,08/12/2010 11:04,17706
537754,08/12/2010 11:16,16081
537755,08/12/2010 11:31,16525
537757,08/12/2010 11:38,17975
537758,08/12/2010 11:41,16122
537759,08/12/2010 11:42,13126
537760,08/12/2010 11:42,15973
537761,08/12/2010 11:43,13126
537762,08/12/2010 12:01,16558
537764,08/12/2010 12:06,16893
537765,08/12/2010 12:08,14606
537766,08/12/2010 12:08,17677
537767,08/12/2010 12:09,15100
537768,08/12/2010 12:11,15750
537769,08/12/2010 12:17,15021
537770,08/12/2010 12:24,15529
537771,08/12/2010 12:29,15498
537772,08/12/2010 12:35,18043
537773,08/12/2010 12:36,16016
537774,08/12/2010 12:40,14060
537775,08/12/2010 12:41,17722
537780,08/12/2010 12:45,17324
537781,08/12/2010 12:46,17341
537789,08/12/2010 12:49,14051
537791,08/12/2010 12:51,16233
537792,08/12/2010 12:56,16385
537793,08/12/2010 12:57,15032
537794,08/12/2010 13:01,16713
537795,08/12/2010 13:03,17213
537796,08/12/2010 13:03,18061
537799,08/12/2010 13:07,15916
537800,08/12/2010 13:08,12748
537801,08/12/2010 13:08,15221
537802,08/12/2010 13:11,13455
537803,08/12/2010 13:14,15916
537804,08/12/2010 13:17,12748
537806,08/12/2010 13:21,13113
537808,08/12/2010 13:23,15311
537809,08/12/2010 13:28,14217
537810,08/12/2010 13:30,15032
537811,08/12/2010 13:30,17262
537813,08/12/2010 13:38,18259
537815,08/12/2010 13:49,17676
537816,08/12/2010 13:51,16679
537817,08/12/2010 13:53,18269
537818,08/12/2010 13:53,12766
537819,08/12/2010 13:55,15298
537822,08/12/2010 14:22,13523
537825,08/12/2010 14:36,15005
537826,08/12/2010 14:38,15581
537827,08/12/2010 14:43,15332
537828,08/12/2010 14:43,15680
537829,08/12/2010 14:46,15498
537830,08/12/2010 14:46,13649
537831,08/12/2010 14:50,17894
537833,08/12/2010 14:53,13270
537836,08/12/2010 14:58,14866
537837,08/12/2010 14:59,13077
537840,08/12/2010 15:03,13531
537841,08/12/2010 15:10,13848
537842,08/12/2010 15:12,13140
537843,08/12/2010 15:16,15713
537844,08/12/2010 15:17,17999
537845,08/12/2010 15:23,17690
537846,08/12/2010 15:25,15347
537847,08/12/2010 15:33,14766
537848,08/12/2010 15:35,13777
537849,08/12/2010 15:35,13777
537850,08/12/2010 15:38,16722
537851,08/12/2010 15:39,13758
537852,08/12/2010 15:56,17340
537854,08/12/2010 15:58,13984
537855,08/12/2010 15:59,15996
537859,08/12/2010 16:11,14030
537861,08/12/2010 16:18,16596
537862,08/12/2010 16:21,12971
537863,08/12/2010 16:29,14030
537864,08/12/2010 16:34,16700
537865,08/12/2010 16:34,16011
537866,08/12/2010 16:45,17655
537867,08/12/2010 16:48,16717
537868,08/12/2010 16:49,12433
537871,08/12/2010 17:20,12748
537879,09/12/2010 08:34,14243
537880,09/12/2010 09:14,12963
537881,09/12/2010 09:23,15513
537882,09/12/2010 09:25,15079
537883,09/12/2010 09:27,14437
537884,09/12/2010 09:30,15694
537885,09/12/2010 09:34,12942
537886,09/12/2010 09:49,15660
537887,09/12/2010 10:00,18092
537888,09/12/2010 10:04,15358
537889,09/12/2010 10:04,13319
537890,09/12/2010 10:04,15358
537891,09/12/2010 10:05,13319
537892,09/12/2010 10:13,12481
537894,09/12/2010 10:16,12621
537895,09/12/2010 10:30,14299
537896,09/12/2010 10:33,18071
537897,09/12/2010 10:37,12683
537898,09/12/2010 10:42,17377
537899,09/12/2010 10:44,12755
537900,09/12/2010 10:45,15983
537901,09/12/2010 10:48,13854
537915,09/12/2010 10:55,12797
537955,09/12/2010 11:28,16782
537963,09/12/2010 11:30,13369
537967,09/12/2010 11:31,12494
537981,09/12/2010 11:35,17857
537995,09/12/2010 11:39,12712
538000,09/12/2010 11:44,12748
538002,09/12/2010 11:48,14932
538003,09/12/2010 12:05,12429
538005,09/12/2010 12:12,13090
538006,09/12/2010 12:13,14987
538007,09/12/2010 12:16,14355
538008,09/12/2010 12:17,12683
538009,09/12/2010 12:17,14911
538010,09/12/2010 12:20,17526
538011,09/12/2010 12:24,14896
538012,09/12/2010 12:32,14527
538013,09/12/2010 12:37,17062
538014,09/12/2010 12:49,14440
538015,09/12/2010 12:49,13240
538032,09/12/2010 12:59,14479
538035,09/12/2010 13:03,16065
538037,09/12/2010 13:05,17430
538040,09/12/2010 13:08,16520
538048,09/12/2010 13:14,15945
538049,09/12/2010 13:21,12748
538050,09/12/2010 13:22,12748
538051,09/12/2010 13:24,18041
538053,09/12/2010 13:34,15856
538056,09/12/2010 13:34,17198
538057,09/12/2010 13:38,13102
538063,09/12/2010 13:44,18102
538064,09/12/2010 13:47,15271
538065,09/12/2010 13:57,13982
538067,09/12/2010 13:59,15288
538068,09/12/2010 14:05,17978
538069,09/12/2010 14:08,16795
538070,09/12/2010 14:08,16519
538073,09/12/2010 14:10,17816
538076,09/12/2010 14:15,15311
538077,09/12/2010 14:19,14667
538078,09/12/2010 14:25,16255
538079,09/12/2010 14:27,17671
538080,09/12/2010 14:28,17646
538086,09/12/2010 14:44,12872
538087,09/12/2010 14:44,17339
538093,09/12/2010 14:49,12682
538094,09/12/2010 14:50,13117
538095,09/12/2010 14:55,17097
538097,09/12/2010 14:56,15192
538101,09/12/2010 15:01,15380
538104,09/12/2010 15:16,17950
538106,09/12/2010 15:20,17950
538107,09/12/2010 15:21,12826
538108,09/12/2010 15:23,17456
538113,09/12/2010 15:29,15811
538116,09/12/2010 15:32,13327
538117,09/12/2010 15:33,13327
538120,09/12/2010 15:35,17017
538125,09/12/2010 15:46,18225
538126,09/12/2010 15:50,17838
538145,09/12/2010 16:08,15211
538146,09/12/2010 16:10,15596
538147,09/12/2010 16:11,13090
538151,09/12/2010 16:28,16163
538155,09/12/2010 16:52,16907
538156,09/12/2010 16:53,15555
538157,09/12/2010 16:57,17576
538163,09/12/2010 17:27,17841
538165,09/12/2010 17:34,14031
538166,09/12/2010 18:09,17965
538167,09/12/2010 18:58,14713
538168,09/12/2010 19:23,14702
538169,09/12/2010 19:28,13230
538170,09/12/2010 19:32,13969
538171,09/12/2010 20:01,17530
538172,10/12/2010 09:33,15805
538174,10/12/2010 09:35,12471
538175,10/12/2010 09:48,12471
538176,10/12/2010 09:48,17675
538178,10/12/2010 09:51,17696
538179,10/12/2010 09:52,17696
538180,10/12/2010 09:53,13418
538181,10/12/2010 10:08,17076
538182,10/12/2010 10:18,17827
538183,10/12/2010 10:21,16265
538184,10/12/2010 10:21,17880
538185,10/12/2010 10:22,16265
538186,10/12/2010 10:26,13000
538187,10/12/2010 10:27,16499
538190,10/12/2010 10:47,17790
538191,10/12/2010 10:49,15061
538192,10/12/2010 10:50,15061
538193,10/12/2010 10:51,15061
538194,10/12/2010 10:52,17790
538195,10/12/2010 10:52,15061
538196,10/12/2010 10:56,12731
538197,10/12/2010 10:56,14419
538198,10/12/2010 11:01,17827
538199,10/12/2010 11:02,14082
538200,10/12/2010 11:11,17912
538201,10/12/2010 11:12,15723
538202,10/12/2010 11:19,14667
538203,10/12/2010 11:21,13767
538204,10/12/2010 11:23,16656
538205,10/12/2010 11:24,12748
538206,10/12/2010 11:31,17827
538207,10/12/2010 11:33,12748
538208,10/12/2010 11:39,14037
538209,10/12/2010 11:42,12748
538210,10/12/2010 11:44,14256
538211,10/12/2010 11:47,17690
538216,10/12/2010 11:51,14543
538240,10/12/2010 12:00,16062
538248,10/12/2010 12:14,18116
538250,10/12/2010 12:20,18118
538252,10/12/2010 12:29,16019
538255,10/12/2010 12:33,14911
538260,10/12/2010 12:42,18178
538263,10/12/2010 12:44,18065
